City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,East London,ZA,-33.0153,27.9116,61.05,26,0,5.14,clear sky
142,Tevriz,RU,57.509,72.4042,73.08,47,75,3.36,broken clouds
143,Bluefield,US,37.2698,-81.2223,67.06,93,75,0.0,broken clouds
144,Inhambane,MZ,-23.865,35.3833,66.0,88,75,8.97,light rain
145,Nome,US,64.5011,-165.4064,63.16,72,49,5.68,scattered clouds
146,Sur,OM,22.5667,59.5289,88.72,60,29,8.81,scattered clouds
147,Carnarvon,AU,-24.8667,113.6333,75.27,38,40,9.22,scattered clouds
148,Cabedelo,BR,-6.9811,-34.8339,72.27,90,22,10.69,few clouds
149,Chokurdakh,RU,70.6333,147.9167,61.74,36,92,4.52,overcast clouds
150,Kristiansund,NO,63.1115,7.732,55.45,71,75,18.41,broken clouds
151,Say,NE,13.1007,2.3689,77.97,61,100,10.2,overcast clouds
152,Ponta Do Sol,PT,32.6667,-17.1,72.01,85,3,4.05,clear sky
153,Alofi,NU,-19.0595,-169.9187,76.89,83,40,10.36,scattered clouds
154,Lokosovo,RU,61.1333,74.8167,58.77,83,100,3.58,overcast clouds
155,Umm Kaddadah,SD,13.6017,26.6876,79.7,63,85,11.05,overcast clouds
156,Jutiapa,GT,14.2833,-89.9,65.75,95,24,5.3,few clouds
157,Kabompo,ZM,-13.5927,24.2008,47.57,74,28,5.08,scattered clouds
158,Carutapera,BR,-1.195,-46.02,75.04,93,6,4.7,clear sky
159,Pokosnoye,RU,55.5258,101.0536,77.5,40,3,7.0,clear sky
160,Patnanungan,PH,14.7833,122.1833,85.64,72,100,14.61,overcast clouds
161,Tashara,RU,55.5195,83.5094,67.23,62,57,4.47,light rain
162,Khatanga,RU,71.9667,102.5,65.03,52,97,12.73,overcast clouds
163,Talnakh,RU,69.4865,88.3972,56.25,57,68,5.01,broken clouds
164,Severo-Kurilsk,RU,50.6789,156.125,53.31,92,85,13.22,overcast clouds
165,Pevek,RU,69.7008,170.3133,39.42,83,100,5.61,overcast clouds
166,Peniche,PT,39.3558,-9.3811,64.72,85,100,17.18,overcast clouds
167,Robore,BO,-18.3333,-59.75,60.06,21,86,6.46,overcast clouds
168,Dunedin,NZ,-45.8742,170.5036,47.8,85,97,4.0,overcast clouds
